Package	Deadline	Maintainer	Packages	Dependencies	Snapshot
analogue	2024-09-13	Gavin L. Simpson	cops	1	2024-09-20 19:15:02.157321
RColetum	2024-09-14	André Smaniotto		0	2024-09-20 19:15:02.157321
bigergm	2024-09-16	Cornelius Fritz		0	2024-09-20 19:15:02.157321
psqn	2024-09-18	Benjamin Christoffersen	mdgc, mmcif	2	2024-09-20 19:15:02.157321
FNN	2024-09-20	Shengqiao Li	adamethods, agghoo, amt, Anthropometry, atakrig, autoFRK, bapred, BayesNSGP, bigdatadist, Canek, CAST, cccd, clap, cmsaf, cmsafops, colors3d, cooltools, crmReg, customizedTraining, daltoolbox, damAOI, deepgp, densityClust, DSWE, ECoL, EmbedSOM, evclass, evclust, exdqlm, ExNRuleEnsemble, first, fpcb, freqparcoord, gainML, GpGp, GPvecchia, gstat, GWmodel, HDoutliers, HellCor, hextri, Hmsc, HVT, ider, imbalance, IndepTest, intRinsic, KCSKNNShiny, KNNShiny, less, LilRhino, LOMAR, mateable, MBC, meshed, metamer, miceRanger, missRanger, mlquantify, MOEADr, musclesyneRgies, noisemodel, OkNNE, outForest, PINSPlus, pmlbr, probout, RaceID, RaSEn, rchemo, regtools, rgnoisefilt, sambia, sansa, scCAN, scgwr, semidist, shattering, SmartMeterAnalytics, smotefamily, SMOTEWB, SpatialDDLS, spmoran, SRTsim, stray, supercompress, TDA, toweranNA, trafo, uwot, varrank, VoxR, waywiser, xkcdcolors, ks, BAwiR, meteo, cmsafvis, daltoolboxdp, harbinger, heimdall, tspredit, evreg, cdparcoord, dsld, ferrn, nntmvn, SeBR, VeccTMVN, abmR, AFM, automap, covatest, EFDR, EgoCor, FeedbackTS, geospt, gmGeostats, intamap, intamapInteractive, intkrige, klovan, leastcostpath, mapsRinteractive, paar, pargasite, phenmod, prevR, psgp, qlcVisualize, RSAGA, rtop, SpatFD, spDates, spm, spm2, spup, stppSim, stxplore, SurfaceTortoise, TUFLOWR, UBL, variosig, Compind, GeoWeightedModel, SpatialRegimes, OutliersO3, agfh, BEKKs, birdring, blocs, BMTAR, bspcov, cdcsis, changepoints, curvHDR, DMTL, ecospat, eks, enmSdmX, fbst, fdaSP, feature, FitDynMix, fitPS, funspace, goffda, GPareto, hdrcde, highriskzone, HybridMicrobiomes, hypervolume, Kernelheaping, lg, logcondens, lsbs, metaGE, motmot, movieROC, multimode, NMADiagT, npphen, NTSS, oddstream, OVL.CI, powerPLS, qch, Racmacs, rainbow, raptr, refreg, rKIN, rugarch, semiArtificial, simIReff, simlandr, simukde, smoothROCtime, sNPLS, SPARTAAS, starvars, Surrogate, TEAM, ThresholdROC, TPD, tseriesEntropy, tstests, VIRF, weird, winputall, FuzzyImputationTest, hdImpute, mlim, outqrf, scISR, partools, qeML, aifeducation, ebmc, npcs, scutr, imbalanceDatRel, ashapesampler, etree, RPointCloud, TDAvec, bbknnR, ClustAssess, embed, fastTopics, HDStIM, iCellR, mxnorm, rliger, sccore, scDHA, scROSHI, Seurat, symphony, WormTensor, BioM2, FORTLS, Morphoscape, SUNGEO, wingen, causalBatch, wallace, brada, geosptdb, robflreg, GPGame, meboot, RChronoModel, RFpredInterval, SIBER, truelies, BAT, cati, Ostats, smoothtail, opGMMassessment, demography, fds, ftsa, popstudy, Rfssa, TE, wwntests, ShellChron, ARMALSTM, ConnectednessApproach, dccmidas, iClick, portvine, PWEV, qrmtools, quarks, rmgarch, RMOPI, SBAGM, tseriesTARMA, ufRisk, WaveletGARCH, conos, CRMetrics, leidenAlg, pagoda2, scITD, ScRNAIMM, MantaID, ExplainPrediction, AnanseSeurat, APackOfTheClones, CACIMAR, CAESAR.Suite, CAMML, DR.SC, DWLS, GeneNMF, ggsector, mixhvg, nebula, PoweREST, PRECAST, ProFAST, rPanglaoDB, scAnnotate, scaper, sccca, scCustomize, SCdeconR, scDiffCom, scGate, scGOclust, SCIntRuler, scMappR, scperturbR, scpoisson, SCRIP, scRNAstat, SignacX, SoupX, SPECK, STREAK, tidyseurat, fitlandr, Isinglandr, stepgbm, steprf, EQUALSTATS, ThresholdROCsurvival, MSclassifR, divraster, red, RcmdrPlugin.RiskDemo, SEERaBomb, fda, JOPS, generalCorr, EDOtrans, nichetools, absorber, adass, anacor, CCA, cfda, clustEff, CollocInfer, conformalInference.fd, ctmcmove, ctmva, cvmaPLFAM, dfrr, dynr, EBCHS, Ecfun, ExtremalDep, FADPclust, fda.usc, fdaACF, fdaMocca, fdANOVA, fdatest, freqdom.fda, funcharts, FuncNN, FunctanSNP, funFEM, funkycells, funLBM, funpca, glober, gmtFD, GPFDA, KFPCA, KFPLS, LocKer, logitFD, longsurr, mar1s, mrct, MRmediation, multiFANOVA, nFunNN, pcdpca, pCODE, pencopulaCond, pendensity, PerFit, pfica, PFLR, puls, PupillometryR, quantreg.nonpar, refund, ReMFPCA, robCompositions, Rsfar, sasfunclust, SCCS, sde, sft, slasso, SLFPCA, SpatialfdaR, srp, stfit, T4cluster, TestGardener, TFunHDDC, TimeVarConcurrentModel, trackeR, TrendTM, warpMix, practicalSigni, ecpc, fxTWAPLS, growthPheno, gecko, brainKCCA, RFCCA, seedCCA, studyStrap, Ecdat, biosensors.usc, FiSh, ILS, mlmts, qcr, rofanova, robin, DGP4LCF, expowo, fastFMM, funmediation, MJMbamlss, mMARCH.AC, mxfda, postGGIR, refund.shiny, rmfanova, sparseFLMM, baker, CMMs, DrBats, mixedsde, nsROC, yuimaGUI, Riemann, TDAkit, ConconiAnaerobicThresholdTest, trackeRapp, DWreg, gk, EATME, elastes, multifamm, randnet, BDWreg, HCD, NetworkReg	461	2024-09-20 19:15:02.157321
randomForest	2024-09-20	Andy Liaw	aLFQ, alookr, aloom, aRtsy, assignPOP, AutoScore, aVirtualTwins, BAGofT, banter, bartMachine, BASiNET, BASiNETEntropy, binomialRF, BWGS, C443, CALIBERrfimpute, cem, CERFIT, classmap, CompMix, CondIndTests, conformalClassification, countSTAR, cpfa, cpt, CRE, curvir, daltoolbox, DeepLearningCausal, dendroTools, dmlalg, DMTL, driveR, easyalluvial, ebmc, EFS, EnsembleBase, EpiSemble, EPX, ExpImage, FateID, FeatureTerminatoR, FFTrees, ForestDisc, FSelector, fuzzyforest, gamclass, GB5mcPred, geomod, ggRandomForests, ggscidca, GIC, GiniDistance, GMDH2, HaploCatcher, iimi, ImHD, ImML, imputeMissings, interpretR, ivitr, JQL, kernelFactory, less, LINselect, LongituRF, LSDirf, m2b, MBMethPred, metaEnsembleR, microbial, mikropml, missForest, MixRF, mlearning, mlmts, mlquantify, Modeler, ModelMap, MPV, MSclassifR, mt, MUVR2, NCSampling, needmining, NicheBarcoding, nlcv, nlnet, nonet, nonlinearICP, nproc, omu, OncoSubtype, OOBCurve, OpEnHiMR, optBiomarker, ORION, OTE, pathwayTMB, pdi, permimp, pheble, PheVis, pomodoro, POPInf, practicalSigni, PredPsych, pRF, psica, quantregForest, RaceID, randomForestExplainer, RandomForestsGLS, randomForestVIP, rasclass, RaSEn, RclusTool, regclass, REPTILE, RFclust, RFlocalfdr, rfPermute, rfVarImpOOB, rfviz, rgnoisefilt, riAFTBART, Ricrt, rminer, RPtests, rQSAR, RSDA, RTextTools, Rtrack, scorecardModelUtils, SDMtune, seer, sigInt, simputation, smdi, soilassessment, sovereign, SpatialML, spikeslab, spm, spm2, SSDM, Sstack, stablelearner, statVisual, steprf, STGS, SweepDiscovery, SynDI, synthesizer, synthpop, tashu, TIGERr, traineR, tRigon, TriMatch, TSPred, UBL, varSelRF, visaOTR, vita, VMDML, VSURF, vtype, WaveletRF, waves, xLLiM, bartMan, iBART, mwa, daltoolboxdp, harbinger, heimdall, tspredit, parcats, EnsembleCV, EnsemblePCReg, EnsemblePenReg, D2MCS, PhylogeneticEM, ADAPTS, funspace, FuzzyImputationTest, GenoPop, highMLR, imanr, imp4p, KarsTS, longit, MERO, missCompare, obliqueRSF, promor, speaq, zooimage, CrossValidate, cmaRs, ProgModule, rfvimptest, ConformalSmallest, AFR, ggESDA, symbolicDA, SentimentAnalysis, stepgbm, predictoR, regressoR, PSAboot, predtoolsTS, SAiVE, scMappR, mi4p, disclosuR, mdsOpt	218	2024-09-20 19:15:02.157321
evd	2024-09-20	Alec Stephenson	cape, climwin, criticality, ddst, DEEVD, ensembleMOS, evt0, evtclass, ExtremalDep, extremeIndex, ExtremeRisks, extremeStat, extremis, flood, GJRM, HydroPortailStats, IDF, INQC, intamap, lmboot, lookout, metafuse, mvPot, RecordLinkage, Renext, ReturnCurves, RobExtremes, ROlogit, rSHAPE, rtdists, RtsEva, SimCorMultRes, SpatialGEV, truncdist, tsxtreme, weird, GLDreg, simgof, DiSCos, BRBVS, flexmsm, micemd, penfa, intamapInteractive, psgp, oddnet, GISINTEGRATION, HodgesTools, multilink, PreProcessRecordLinkage, rWCVP, GWEX, PredictionR, DstarM, EMC2, LassoGEE, BASS, BayesCR, BCClong, CARBayesST, countSTAR, deBInfer, EnviroPRA2, jfa, mas, multinma, OBASpatial, revengc, Rpadrino, snSMART, ssmn, StatRank, bmstdr, clusterMI, bssn, janus, PLMIX	77	2024-09-20 19:15:02.157321
rrcov	2024-09-20	Valentin Todorov	bigdatadist, BMA, cellWise, crmReg, DepthProc, funcharts, geneticae, groc, GSE, ICSClust, ICSShiny, MAINT.Data, mcrPioda, MVTests, pmartR, QuadratiK, RcmdrPlugin.PcaRobust, riv, RobAStBase, robCompositions, RobStatTM, robust, robustfa, rospca, rrcov3way, rrcovHD, rrcovNA, rstanbdp, ssMRCD, TCIU, BCEE, clustvarsel, Ecfun, maclogp, mlogitBMA, classmap, ConfidenceEllipse, fMRIscrub, OutliersO3, RCTS, RDnp, RMSS, robStepSplitReg, srlars, familial, OptimaRegion, hetsurrSurv, ktaucenters, robreg3S, robustsur, robustvarComp, RobExtremes, RobLox, ROptEst, baker, CMMs, facmodCS, facmodTS, PCRA, RPEIF, RPESE, RRBoost, adventr, lolR, mmiCATs, outliers.ts.oga, RobMixReg, Ecdat, RMBC, RobLoxBioC, RPEGLMEN, DWreg, gk, BDWreg	74	2024-09-20 19:15:02.157321
AlgDesign	2024-09-20	Jerome Braun	agricolae, cbcTools, choiceDes, conjoint, crossdes, DoE.wrapper, edibble, radiant.design, SensoMineR, STPGA, agricolaeplotr, ammistability, biometryassist, doebioresearch, EvaluateCore, GerminaR, grapesAgri1, inti, LorMe, MetAlyzer, NSM3, rPAex, bwsTools, Crossover, designr, mixOofA, OPDOE, RcmdrPlugin.BWS1, spsurvey, RcmdrPlugin.DoE, radiant, ARUtools	32	2024-09-20 19:15:02.157321
GenSA	2024-09-20	Sylvain Gubian	basket, calibrar, chillR, ConsReg, cops, corHMM, crmPack, eulerr, FBMS, gripp, hisse, MSTest, nearfar, netcom, nlrx, PortfolioAnalytics, spatialrisk, TropFishR, decisionSupport, ypssc, facmodTS, PCRA	22	2024-09-20 19:15:02.157321
